respondent_id,collector_id,start_date,end_date,ip_address,email_address,first_name,last_name,unique_id,pre_knowledge,pre_research_1,pre_research_2,pre_research_3,pre_research_4,pre_research_5,pre_research_6,pre_research_7,pre_research_8,pre_ability_1,pre_ability_2,pre_ability_3,pre_ability_4,pre_ability_5,pre_ability_6,pre_ethics_1,pre_ethics_2,pre_ethics_3,pre_ethics_4,pre_ethics_5,gender,role,ethnicity,first_gen,post_knowledge,post_research_1,post_research_2,post_research_3,post_research_4,post_research_5,post_research_6,post_research_7,post_research_8,post_ability_1,post_ability_2,post_ability_3,post_ability_4,post_ability_5,post_ability_6,post_ethics_1,post_ethics_2,post_ethics_3,post_ethics_4,post_ethics_5,post_ethics_1_oe,post_ethics_2_oe,post_ethics_3_oe,post_ethics_4_oe,post_ethics_5_oe
114628000011,431822954,2024-06-07,2024-06-08,69.141.247.233,dot.rice@hotmail.com,Delfina,Swift,24290011,Extremely knowledgeable,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Somewhat confident,Very confident,Extensive,Minimal,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Female,Graduate student,Black,Yes,Very knowledgeable,Somewhat confident,Extremely confident,Not at all confident,Extremely confident,Extremely confident,Very confident,Slightly confident,Somewhat confident,Slight,Extensive,Extensive,Good,Good,Moderate,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,NA,NA,NA,NA,NA
114628000012,431822954,2024-06-25,2024-06-26,67.126.120.226,deshawn43@yahoo.com,Torie,Beatty,24290012,Not knowledgeable at all,Not at all confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Extensive,Minimal,Slight,Slight,Good,Good,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,Undergraduate student,Black,No,Very knowledgeable,Extremely confident,Not at all confident,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Extremely confident,Very confident,Extensive,Extensive,Moderate,Extensive,Minimal,Minimal,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,NA,NA,NA,Particular although station possible start. Point actually example man stage church figure lay. Shoulder cold turn through.,NA
114628000013,431822954,2024-06-22,2024-06-23,133.11.178.230,yveum@casper.com,Rand,Harber,24290013,Not knowledgeable at all,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Moderate,Minimal,Minimal,Moderate,Good,Minimal,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Male,Undergraduate student,Native Hawaiian or other Pacific Islander,Yes,Extremely knowledgeable,Very confident,Extremely confident,Extremely confident,Somewhat confident,Slightly confident,Very confident,Extremely confident,Very confident,Extensive,Moderate,Extensive,Moderate,Good,Good,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA
114628000014,431822954,2024-06-19,2024-06-20,205.25.162.244,weissnat.brain@ltd.com,Earline,Koelpin,24290014,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Good,Slight,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Female,Postdoc,White (Non-Hispanic/Latino),I'm not sure,Extremely knowledgeable,Slightly confident,Very confident,Slightly confident,Slightly confident,Very confident,Very confident,Extremely confident,Somewhat confident,Good,Slight,Extensive,Good,Extensive,Moderate,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Art value alone fall. Image onto environmental occur few.,NA,Win ever company oil. Difference smile somebody gun available information energy Mr. Trade nor piece term question significant president.,NA,NA
114628000015,431822954,2024-06-04,2024-06-05,149.92.83.252,emard.dedra@gmail.com,Marin,Collier,24290015,Extremely knowledgeable,Extremely confident,Somewhat confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Minimal,Extensive,Good,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Female,Postdoc,White (Non-Hispanic/Latino),No,Very knowledgeable,Very confident,Extremely confident,Extremely confident,Slightly confident,Slightly confident,Extremely confident,Very confident,Extremely confident,Slight,Extensive,Slight,Extensive,Slight,Good,Agree,Strongly disagree,Disagree,Agree,Agree,NA,Relate Democrat responsibility election these your. Challenge Mrs will inside. Move note world culture speak yourself.,Work project million travel. Light alone clear. Pretty process money voice. Religious be last create billion.,NA,NA
114628000016,431822954,2024-06-17,2024-06-18,92.197.144.240,vzboncak@leannon.com,Aliyah,Hackett,24290016,Not knowledgeable at all,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Minimal,Minimal,Moderate,Good,Good,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Female,Postdoc,White (Non-Hispanic/Latino),Yes,Extremely knowledgeable,Slightly confident,Slightly confident,Very confident,Slightly confident,Not at all confident,Very confident,Extremely confident,Somewhat confident,Good,Moderate,Extensive,Good,Moderate,Slight,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,NA,NA,NA,NA,NA
114628000017,431822954,2024-06-09,2024-06-10,81.242.128.155,jamar.o'keefe@yahoo.com,Tyreke,VonRueden,24290017,Not knowledgeable at all,Extremely confident,Very confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Extensive,Slight,Slight,Minimal,Minimal,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Male,Undergraduate student,Asian,Yes,Very knowledgeable,Very confident,Somewhat confident,Somewhat confident,Very confident,Not at all confident,Very confident,Very confident,Somewhat confident,Moderate,Extensive,Minimal,Slight,Good,Minimal,Strongly agree,Agree,Disagree,Strongly agree,Agree,NA,NA,Government fund door develop. The direction choose away pay reason. Theory stuff want student.,NA,NA
114628000018,431822954,2024-06-22,2024-06-23,16.59.85.147,gusikowski.harris@yahoo.com,Jessenia,Ullrich,24290018,Not knowledgeable at all,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Very confident,Not at all confident,Very confident,Slight,Good,Minimal,Slight,Minimal,Extensive,Disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Female,Undergraduate student,White (Non-Hispanic/Latino),No,Extremely knowledgeable,Very confident,Not at all confident,Extremely confident,Extremely confident,Very confident,Somewhat confident,Extremely confident,Somewhat confident,Extensive,Extensive,Minimal,Extensive,Slight,Slight,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Current much day himself summer fact. Detail those rest talk small choice. Care call draw method when happy.,NA,Tonight home note poor central religious culture. Happen senior brother do main whole.,NA,Conference factor change. General analysis if trade image.
114628000019,431822954,2024-06-08,2024-06-09,51.219.236.139,brice.strosin@bergstrom.org,Wilhelm,Wilkinson,24290019,Not knowledgeable at all,Extremely confident,Slightly confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Good,Extensive,Slight,Minimal,Good,Slight,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Male,Undergraduate student,Black,No,Very knowledgeable,Very confident,Extremely confident,Very confident,Very confident,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Slight,Extensive,Good,Slight,Good,Good,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,NA,NA,NA,NA,Tonight home note poor central religious culture. Happen senior brother do main whole.
114628000020,431822954,2024-06-07,2024-06-08,125.249.91.68,tiesha64@hotmail.com,Leslie,Schoen,24290020,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Very confident,Not at all confident,Not at all confident,Slight,Minimal,Minimal,Minimal,Slight,Moderate,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Male,Graduate student,Hispanic or Latino,No,Extremely knowledgeable,Extremely confident,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Extremely confident,Somewhat confident,Extremely confident,Slight,Good,Moderate,Good,Moderate,Good,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Other impact glass kind assume watch heavy. Many best rich nation fast visit open recent.,NA,NA,NA,NA
114628000021,431822954,2024-06-21,2024-06-22,68.83.203.111,nstamm@yahoo.com,Tylor,Kub,24290021,Not knowledgeable at all,Slightly confident,Slightly confident,Slightly confident,Very confident,Very confident,Not at all confident,Somewhat confident,Somewhat confident,Extensive,Good,Slight,Minimal,Moderate,Good,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Male,Undergraduate student,Hispanic or Latino,Yes,Extremely knowledgeable,Very confident,Extremely confident,Extremely confident,Very confident,Very confident,Very confident,Somewhat confident,Extremely confident,Slight,Extensive,Moderate,Moderate,Extensive,Moderate,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA
114628000022,431822954,2024-06-17,2024-06-18,165.253.216.114,dalvin57@torp.info,Captain,Pfannerstill,24290022,A little knowledgeable,Somewhat confident,Not at all confident,Very confident,Slightly confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slight,Moderate,Moderate,Minimal,Extensive,Extensive,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Male,Undergraduate student,Asian,Yes,A little knowledgeable,Somewhat confident,Extremely confident,Not at all confident,Very confident,Very confident,Extremely confident,Extremely confident,Very confident,Extensive,Moderate,Extensive,Moderate,Slight,Good,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,NA,NA,NA,NA,NA
114628000023,431822954,2024-06-20,2024-06-21,253.253.255.158,rutherford.jeannette@gmail.com,Zebulon,Powlowski,24290023,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Very confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Moderate,Moderate,Slight,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Male,Undergraduate student,Black,Yes,Very knowledgeable,Extremely confident,Somewhat confident,Somewhat confident,Slightly confident,Slightly confident,Very confident,Not at all confident,Somewhat confident,Extensive,Good,Good,Good,Slight,Moderate,Disagree,Strongly agree,Agree,Agree,Strongly agree,Police option however add child throw kind PM. Simply mention tonight he. Land analysis field usually strategy yeah soon.,NA,NA,NA,NA
114628000024,431822954,2024-06-22,2024-06-23,127.131.47.8,harm42@gmail.com,Mignon,Walker,24290024,A little knowledgeable,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Moderate,Good,Minimal,Extensive,Minimal,Moderate,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Female,Faculty,White (Non-Hispanic/Latino),Yes,Extremely knowledgeable,Somewhat confident,Extremely confident,Slightly confident,Slightly confident,Very confident,Extremely confident,Extremely confident,Slightly confident,Slight,Slight,Moderate,Moderate,Good,Extensive,Agree,Strongly agree,Disagree,Strongly agree,Agree,NA,NA,Skill pass claim tell threat they power. Stuff and it man.,NA,NA
114628000025,431822954,2024-06-05,2024-06-06,98.109.89.106,terese.kertzmann@farrell.com,Priscila,Kuhic,24290025,Very knowledgeable,Somewhat confident,Not at all confident,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Minimal,Minimal,Minimal,Minimal,Slight,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Female,Undergraduate student,Black,No,A little knowledgeable,Extremely confident,Not at all confident,Slightly confident,Extremely confident,Very confident,Somewhat confident,Very confident,Extremely confident,Extensive,Extensive,Slight,Minimal,Good,Slight,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA
114628000026,431822954,2024-06-25,2024-06-26,158.99.31.117,wstamm@yahoo.com,Ewing,Wisozk,24290026,Not knowledgeable at all,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Slight,Extensive,Moderate,Moderate,Good,Extensive,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Male,Graduate student,Asian,Yes,Very knowledgeable,Slightly confident,Extremely confident,Very confident,Extremely confident,Slightly confident,Slightly confident,Extremely confident,Very confident,Moderate,Extensive,Extensive,Extensive,Slight,Good,Disagree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Fill record despite necessary race. Upon miss finally open none over.,NA,NA,NA,NA
114628000027,431822954,2024-06-06,2024-06-07,148.119.95.169,marilla96@hotmail.com,Maeve,Considine,24290027,Not knowledgeable at all,Extremely confident,Very confident,Extremely confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Moderate,Good,Slight,Slight,Good,Minimal,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Female,Graduate student,White (Non-Hispanic/Latino),Yes,Somewhat knowledgeable,Slightly confident,Extremely confident,Extremely confident,Somewhat confident,Somewhat confident,Not at all confident,Very confident,Very confident,Extensive,Moderate,Slight,Extensive,Extensive,Moderate,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,NA,NA,NA,NA,Personal six help way. Like today note soon anyone. Sign gas market name ball approach office. Cost sure meeting join address always.
114628000028,431822954,2024-06-01,2024-06-02,145.118.185.154,sierra.torphy@hotmail.com,Ethelbert,Abshire,24290028,Not knowledgeable at all,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Somewhat confident,Slightly confident,Not at all confident,Extremely confident,Slight,Good,Moderate,Moderate,Minimal,Minimal,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Male,Postdoc,Asian,No,A little knowledgeable,Extremely confident,Slightly confident,Slightly confident,Extremely confident,Slightly confident,Extremely confident,Extremely confident,Extremely confident,Good,Minimal,Slight,Good,Extensive,Moderate,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,NA,NA,NA,Personal six help way. Like today note soon anyone. Sign gas market name ball approach office. Cost sure meeting join address always.,Conference dark imagine give enough long.
114628000029,431822954,2024-06-17,2024-06-18,198.59.79.99,shawna.lang@bartoletti.net,Eben,Crona,24290029,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Minimal,Moderate,Moderate,Extensive,Minimal,Good,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Male,Undergraduate student,White (Non-Hispanic/Latino),Yes,Extremely knowledgeable,Slightly confident,Extremely confident,Slightly confident,Slightly confident,Not at all confident,Extremely confident,Extremely confident,Somewhat confident,Extensive,Moderate,Moderate,Extensive,Good,Moderate,Agree,Agree,Disagree,Strongly agree,Strongly agree,NA,NA,Police option however add child throw kind PM. Simply mention tonight he. Land analysis field usually strategy yeah soon.,NA,NA
114628000030,431822954,2024-06-17,2024-06-18,34.48.136.166,rossie68@gmail.com,Lucian,Langworth,24290030,Not knowledgeable at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Minimal,Moderate,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Male,Postdoc,American Indian or Alaskan Native,Yes,Extremely knowledgeable,Not at all confident,Extremely confident,Slightly confident,Extremely confident,Not at all confident,Extremely confident,Extremely confident,Extremely confident,Good,Extensive,Moderate,Extensive,Extensive,Moderate,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,NA,NA,NA,NA,NA
114628000031,431822954,2024-06-06,2024-06-07,71.55.64.173,monna.gutmann@lueilwitz.com,Latesha,Barton,24290031,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Extremely confident,Slightly confident,Not at all confident,Moderate,Moderate,Moderate,Extensive,Moderate,Good,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Female,Postdoc,White (Non-Hispanic/Latino),Yes,Very knowledgeable,Slightly confident,Extremely confident,Very confident,Extremely confident,Not at all confident,Somewhat confident,Extremely confident,Slightly confident,Extensive,Extensive,Extensive,Good,Good,Moderate,Disagree,Agree,Disagree,Strongly agree,Agree,Building mission institution forward condition heavy. Television audience start. Anyone travel place speak culture against.,NA,National finally can fund. Red back use develop.,NA,NA
114628000032,431822954,2024-06-16,2024-06-17,40.97.140.22,jkshlerin@and.com,Ralph,Johns,24290032,Not knowledgeable at all,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Not at all confident,Extremely confident,Moderate,Good,Slight,Minimal,Minimal,Slight,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Male,Undergraduate student,American Indian or Alaskan Native,Yes,A little knowledgeable,Extremely confident,Extremely confident,Not at all confident,Slightly confident,Extremely confident,Extremely confident,Very confident,Somewhat confident,Slight,Extensive,Extensive,Good,Extensive,Good,Strongly agree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,NA,NA,Officer himself wear statement. Easy visit sound white measure. So analysis television doctor.,NA,NA
114628000033,431822954,2024-06-12,2024-06-13,249.28.72.188,henriette31@group.com,Riley,Boehm,24290033,Somewhat knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Moderate,Moderate,Extensive,Minimal,Slight,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Male,Graduate student,Black,Yes,Extremely knowledgeable,Slightly confident,Extremely confident,Extremely confident,Very confident,Very confident,Extremely confident,Very confident,Somewhat confident,Extensive,Good,Minimal,Extensive,Moderate,Extensive,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,NA,NA,NA,NA,NA
114628000034,431822954,2024-06-06,2024-06-07,242.245.78.230,wm31@gmail.com,Metha,Steuber,24290034,Not knowledgeable at all,Somewhat confident,Somewhat confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Extremely confident,Somewhat confident,Slight,Minimal,Good,Minimal,Slight,Good,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Female,Graduate student,White (Non-Hispanic/Latino),Yes,Extremely knowledgeable,Slightly confident,Slightly confident,Extremely confident,Slightly confident,Extremely confident,Very confident,Somewhat confident,Not at all confident,Good,Good,Extensive,Extensive,Good,Extensive,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,NA,NA,NA,NA,NA
