Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,To what extent are you knowledgeable in conducting research in your field of study?,Please rate your level of confidence in performing the following research tasks on a scale from not at all confident to extremely confident.,,,,,,,,Please rate your ability to do the following on a scale from minimal to extensive.,,,,,,Please rate your agreement with the following statements on a scale from strongly disagree to strongly agree.,,,,,With which gender do you most closely identify?,What is your current role in the program?,Which race/ethnicity best describes you? (Please choose only one.),Are you a first-generation college student?
114628000010,431822954,2024-06-10,2024-06-11,243.66.50.214,joaquin.runolfsdottir@gmail.com,Victoriano,Volkman,24290010,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Slightly confident,Moderate,Moderate,Good,Slight,Minimal,Extensive,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Male,Undergraduate student,Do not wish to specify,Yes
114628000011,431822954,2024-06-07,2024-06-08,69.141.247.233,dot.rice@hotmail.com,Delfina,Swift,24290011,Extremely knowledgeable,Somewhat confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Somewhat confident,Very confident,Extensive,Minimal,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Female,Graduate student,Black,Yes
114628000012,431822954,2024-06-25,2024-06-26,67.126.120.226,deshawn43@yahoo.com,Torie,Beatty,24290012,Not knowledgeable at all,Not at all confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Extensive,Minimal,Slight,Slight,Good,Good,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,Undergraduate student,Black,No
114628000013,431822954,2024-06-22,2024-06-23,133.11.178.230,yveum@casper.com,Rand,Harber,24290013,Not knowledgeable at all,Somewhat confident,Not at all confident,Extremely confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Somewhat confident,Moderate,Minimal,Minimal,Moderate,Good,Minimal,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Male,Undergraduate student,Native Hawaiian or other Pacific Islander,Yes
114628000014,431822954,2024-06-19,2024-06-20,205.25.162.244,weissnat.brain@ltd.com,Earline,Koelpin,24290014,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Good,Slight,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Female,Postdoc,White (Non-Hispanic/Latino),I'm not sure
114628000015,431822954,2024-06-04,2024-06-05,149.92.83.252,emard.dedra@gmail.com,Marin,Collier,24290015,Extremely knowledgeable,Extremely confident,Somewhat confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Minimal,Extensive,Good,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Female,Postdoc,White (Non-Hispanic/Latino),No
114628000016,431822954,2024-06-17,2024-06-18,92.197.144.240,vzboncak@leannon.com,Aliyah,Hackett,24290016,Not knowledgeable at all,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Minimal,Minimal,Moderate,Good,Good,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Female,Postdoc,White (Non-Hispanic/Latino),Yes
114628000017,431822954,2024-06-09,2024-06-10,81.242.128.155,jamar.o'keefe@yahoo.com,Tyreke,VonRueden,24290017,Not knowledgeable at all,Extremely confident,Very confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Extensive,Slight,Slight,Minimal,Minimal,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Male,Undergraduate student,Asian,Yes
114628000018,431822954,2024-06-22,2024-06-23,16.59.85.147,gusikowski.harris@yahoo.com,Jessenia,Ullrich,24290018,Not knowledgeable at all,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Very confident,Not at all confident,Very confident,Slight,Good,Minimal,Slight,Minimal,Extensive,Disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000019,431822954,2024-06-08,2024-06-09,51.219.236.139,brice.strosin@bergstrom.org,Wilhelm,Wilkinson,24290019,Not knowledgeable at all,Extremely confident,Slightly confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Good,Extensive,Slight,Minimal,Good,Slight,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Male,Undergraduate student,Black,No
114628000020,431822954,2024-06-07,2024-06-08,125.249.91.68,tiesha64@hotmail.com,Leslie,Schoen,24290020,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Very confident,Not at all confident,Not at all confident,Slight,Minimal,Minimal,Minimal,Slight,Moderate,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Male,Graduate student,Hispanic or Latino,No
114628000021,431822954,2024-06-21,2024-06-22,68.83.203.111,nstamm@yahoo.com,Tylor,Kub,24290021,Not knowledgeable at all,Slightly confident,Slightly confident,Slightly confident,Very confident,Very confident,Not at all confident,Somewhat confident,Somewhat confident,Extensive,Good,Slight,Minimal,Moderate,Good,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Male,Undergraduate student,Hispanic or Latino,Yes
114628000022,431822954,2024-06-17,2024-06-18,165.253.216.114,dalvin57@torp.info,Captain,Pfannerstill,24290022,A little knowledgeable,Somewhat confident,Not at all confident,Very confident,Slightly confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slight,Moderate,Moderate,Minimal,Extensive,Extensive,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Male,Undergraduate student,Asian,Yes
114628000023,431822954,2024-06-20,2024-06-21,253.253.255.158,rutherford.jeannette@gmail.com,Zebulon,Powlowski,24290023,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Very confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Moderate,Moderate,Slight,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Male,Undergraduate student,Black,Yes
114628000024,431822954,2024-06-22,2024-06-23,127.131.47.8,harm42@gmail.com,Mignon,Walker,24290024,A little knowledgeable,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Moderate,Good,Minimal,Extensive,Minimal,Moderate,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Female,Faculty,White (Non-Hispanic/Latino),Yes
114628000025,431822954,2024-06-05,2024-06-06,98.109.89.106,terese.kertzmann@farrell.com,Priscila,Kuhic,24290025,Very knowledgeable,Somewhat confident,Not at all confident,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Minimal,Minimal,Minimal,Minimal,Slight,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Female,Undergraduate student,Black,No
114628000026,431822954,2024-06-25,2024-06-26,158.99.31.117,wstamm@yahoo.com,Ewing,Wisozk,24290026,Not knowledgeable at all,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Slight,Extensive,Moderate,Moderate,Good,Extensive,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Male,Graduate student,Asian,Yes
114628000027,431822954,2024-06-06,2024-06-07,148.119.95.169,marilla96@hotmail.com,Maeve,Considine,24290027,Not knowledgeable at all,Extremely confident,Very confident,Extremely confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Moderate,Good,Slight,Slight,Good,Minimal,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Female,Graduate student,White (Non-Hispanic/Latino),Yes
114628000028,431822954,2024-06-01,2024-06-02,145.118.185.154,sierra.torphy@hotmail.com,Ethelbert,Abshire,24290028,Not knowledgeable at all,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Somewhat confident,Slightly confident,Not at all confident,Extremely confident,Slight,Good,Moderate,Moderate,Minimal,Minimal,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Male,Postdoc,Asian,No
114628000029,431822954,2024-06-17,2024-06-18,198.59.79.99,shawna.lang@bartoletti.net,Eben,Crona,24290029,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Minimal,Moderate,Moderate,Extensive,Minimal,Good,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Male,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000030,431822954,2024-06-17,2024-06-18,34.48.136.166,rossie68@gmail.com,Lucian,Langworth,24290030,Not knowledgeable at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Minimal,Moderate,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Male,Postdoc,American Indian or Alaskan Native,Yes
114628000031,431822954,2024-06-06,2024-06-07,71.55.64.173,monna.gutmann@lueilwitz.com,Latesha,Barton,24290031,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Extremely confident,Slightly confident,Not at all confident,Moderate,Moderate,Moderate,Extensive,Moderate,Good,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Female,Postdoc,White (Non-Hispanic/Latino),Yes
114628000032,431822954,2024-06-16,2024-06-17,40.97.140.22,jkshlerin@and.com,Ralph,Johns,24290032,Not knowledgeable at all,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Not at all confident,Extremely confident,Moderate,Good,Slight,Minimal,Minimal,Slight,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Male,Undergraduate student,American Indian or Alaskan Native,Yes
114628000033,431822954,2024-06-12,2024-06-13,249.28.72.188,henriette31@group.com,Riley,Boehm,24290033,Somewhat knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Moderate,Moderate,Extensive,Minimal,Slight,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Male,Graduate student,Black,Yes
114628000034,431822954,2024-06-06,2024-06-07,242.245.78.230,wm31@gmail.com,Metha,Steuber,24290034,Not knowledgeable at all,Somewhat confident,Somewhat confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Extremely confident,Somewhat confident,Slight,Minimal,Good,Minimal,Slight,Good,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Female,Graduate student,White (Non-Hispanic/Latino),Yes
114628000035,431822954,2024-06-20,2024-06-21,223.76.129.242,marion47@yahoo.com,Yael,Kutch,24290035,A little knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Very confident,Slightly confident,Extremely confident,Minimal,Slight,Moderate,Minimal,Good,Good,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Male,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000036,431822954,2024-06-25,2024-06-26,205.172.255.142,calvin.anderson@miller.info,Jeffery,Gottlieb,24290036,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Minimal,Minimal,Slight,Moderate,Minimal,Extensive,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Male,Faculty,White (Non-Hispanic/Latino),No
114628000037,431822954,2024-06-17,2024-06-18,121.70.77.248,jgraham@and.com,Angel,Lynch,24290037,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Very confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Minimal,Minimal,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Female,Undergraduate student,Black,Yes
114628000038,431822954,2024-06-22,2024-06-23,97.152.246.167,edwina.lueilwitz@gmail.com,Urban,Torp,24290038,Not knowledgeable at all,Somewhat confident,Slightly confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Somewhat confident,Good,Good,Slight,Slight,Minimal,Good,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Male,Graduate student,Do not wish to specify,No
114628000039,431822954,2024-06-20,2024-06-21,99.13.68.39,india00@williamson.com,Jerimiah,Raynor,24290039,Somewhat knowledgeable,Somewhat confident,Slightly confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Slight,Moderate,Slight,Moderate,Minimal,Minimal,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Male,Undergraduate student,White (Non-Hispanic/Latino),No
114628000040,431822954,2024-06-13,2024-06-14,185.199.76.224,kunze.rosia@crooks.com,Dellia,Rodriguez,24290040,Somewhat knowledgeable,Very confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Extensive,Slight,Slight,Slight,Slight,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Female,Postdoc,American Indian or Alaskan Native,Yes
114628000041,431822954,2024-06-02,2024-06-03,32.147.65.23,fvandervort@hotmail.com,Kylee,Pouros,24290041,Very knowledgeable,Extremely confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Very confident,Very confident,Moderate,Good,Slight,Slight,Slight,Moderate,Disagree,Disagree,Strongly disagree,Disagree,Agree,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000042,431822954,2024-06-02,2024-06-03,20.33.39.230,steuber.verlene@gmail.com,Shamar,Jerde,24290042,Somewhat knowledgeable,Somewhat confident,Very confident,Very confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Slightly confident,Good,Extensive,Good,Moderate,Minimal,Good,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Non-binary,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000043,431822954,2024-06-19,2024-06-20,169.30.186.91,erunte@yahoo.com,Maynard,Ortiz,24290043,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Moderate,Minimal,Good,Minimal,Good,Extensive,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Male,Undergraduate student,Hispanic or Latino,No
114628000044,431822954,2024-06-18,2024-06-19,10.98.91.112,keshaun77@veum.info,Octave,Romaguera,24290044,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Slight,Minimal,Good,Extensive,Extensive,Extensive,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Male,Graduate student,White (Non-Hispanic/Latino),No
114628000045,431822954,2024-06-14,2024-06-15,45.48.64.8,lashunda.wisoky@and.info,Suzy,Lemke,24290045,Extremely knowledgeable,Somewhat confident,Slightly confident,Extremely confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Extremely confident,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Female,Postdoc,White (Non-Hispanic/Latino),Yes
114628000046,431822954,2024-06-18,2024-06-19,45.30.94.140,mary.thompson@gmail.com,Tim,Swaniawski,24290046,Not knowledgeable at all,Somewhat confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Not at all confident,Moderate,Good,Slight,Minimal,Slight,Minimal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree,Male,Faculty,Hispanic or Latino,Yes
114628000047,431822954,2024-06-22,2024-06-23,167.118.9.5,elgie.walsh@conroy.com,Orrin,Schmidt,24290047,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Extremely confident,Slight,Moderate,Moderate,Extensive,Good,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Male,Undergraduate student,American Indian or Alaskan Native,No
114628000048,431822954,2024-06-06,2024-06-07,222.207.172.87,zlind@hudson.com,Jaylah,Romaguera,24290048,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Good,Moderate,Minimal,Minimal,Slight,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000049,431822954,2024-06-22,2024-06-23,155.84.10.223,joshuah05@yahoo.com,Bell,Feeney,24290049,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Not at all confident,Moderate,Minimal,Slight,Minimal,Extensive,Good,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Female,Faculty,White (Non-Hispanic/Latino),Yes
114628000050,431822954,2024-06-17,2024-06-18,91.84.187.71,stephanie77@gerlach.com,Lidia,Shanahan,24290050,Extremely knowledgeable,Slightly confident,Slightly confident,Very confident,Slightly confident,Slightly confident,Extremely confident,Not at all confident,Very confident,Slight,Moderate,Minimal,Good,Good,Minimal,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Female,Undergraduate student,White (Non-Hispanic/Latino),Yes
114628000051,431822954,2024-06-04,2024-06-05,228.165.67.51,ugaylord@bosco.com,Bobby,Wolff,24290051,Somewhat knowledgeable,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Slightly confident,Slight,Extensive,Slight,Minimal,Good,Slight,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Female,Graduate student,Native Hawaiian or other Pacific Islander,No
114628000052,431822954,2024-06-06,2024-06-07,132.226.1.235,aldona87@dickinson.com,Shafter,Nitzsche,24290052,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Somewhat confident,Not at all confident,Extremely confident,Slight,Good,Good,Slight,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Male,Undergraduate student,Black,Yes
114628000053,431822954,2024-06-22,2024-06-23,31.0.60.17,jschmitt@yahoo.com,Dashawn,Mosciski,24290053,Not knowledgeable at all,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Slight,Slight,Moderate,Minimal,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Male,Graduate student,White (Non-Hispanic/Latino),No
114628000054,431822954,2024-06-17,2024-06-18,108.47.34.1,rsipes@beier.biz,Lori,Ziemann,24290054,A little knowledgeable,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Moderate,Slight,Moderate,Moderate,Moderate,Minimal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Female,Undergraduate student,White (Non-Hispanic/Latino),No
114628000055,431822954,2024-06-14,2024-06-15,103.139.13.180,slubowitz@inc.info,Winona,Stiedemann,24290055,Not knowledgeable at all,Somewhat confident,Very confident,Very confident,Slightly confident,Not at all confident,Slightly confident,Not at all confident,Very confident,Moderate,Good,Good,Minimal,Minimal,Slight,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Female,Undergraduate student,Native Hawaiian or other Pacific Islander,No
114628000056,431822954,2024-06-21,2024-06-22,80.75.43.162,o'kon.minnie@gmail.com,Forrest,Heaney,24290056,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Extensive,Good,Slight,Minimal,Extensive,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Male,Graduate student,White (Non-Hispanic/Latino),Yes
114628000057,431822954,2024-06-06,2024-06-07,217.141.16.194,psauer@altenwerth.com,Marc,Howell,24290057,Not knowledgeable at all,Slightly confident,Slightly confident,Extremely confident,Very confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Extensive,Good,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Male,Undergraduate student,White (Non-Hispanic/Latino),No
114628000058,431822954,2024-06-10,2024-06-11,119.134.151.23,ryann67@mcclure.com,Rosie,Hansen,24290058,Not knowledgeable at all,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Slightly confident,Minimal,Slight,Moderate,Minimal,Minimal,Good,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Female,Faculty,White (Non-Hispanic/Latino),Yes
114628000059,431822954,2024-06-12,2024-06-13,24.8.244.125,hturcotte@gmail.com,Taraji,Hoppe,24290059,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Very confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Slight,Minimal,Good,Minimal,Minimal,Extensive,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,Undergraduate student,Black,Yes
114628000060,431822954,2024-06-04,2024-06-05,162.77.14.27,rodrick.lakin@ltd.net,Etter,Jerde,24290060,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Moderate,Slight,Slight,Extensive,Extensive,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Female,Undergraduate student,Hispanic or Latino,No
114628000061,431822954,2024-06-02,2024-06-03,22.166.59.85,eschneider@hotmail.com,Willard,Osinski,24290061,Not knowledgeable at all,Not at all confident,Very confident,Not at all confident,Very confident,Not at all confident,Very confident,Very confident,Extremely confident,Good,Good,Good,Slight,Slight,Extensive,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Male,Graduate student,Hispanic or Latino,Yes
114628000062,431822954,2024-06-11,2024-06-12,237.134.69.110,jessy28@inc.org,Rodrick,Haag,24290062,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Male,Postdoc,Asian,Yes
