Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,To what extent are you knowledgeable in conducting research in your field of study?,Please rate your level of confidence in performing the following research tasks on a scale from not at all confident to extremely confident.,,,,,,,,Please rate your ability to do the following on a scale from minimal to extensive.,,,,,,Please rate your agreement with the following statements on a scale from strongly disagree to strongly agree.,,,,,With which gender do you most closely identify?,Which race/ethnicity best describes you? (Please choose only one.),Are you a first-generation college student?
114628000014,431822954,2024-06-08,2024-06-09,205.25.162.244,weissnat.brain@ltd.com,Yael,Feil,24290014,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Good,Slight,Minimal,Minimal,Minimal,Extensive,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Male,Asian,Yes
114628000015,431822954,2024-06-22,2024-06-23,149.92.83.252,emard.dedra@gmail.com,Zebulon,Boyer,24290015,Extremely knowledgeable,Extremely confident,Somewhat confident,Very confident,Slightly confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Minimal,Extensive,Good,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Male,Hispanic or Latino,No
114628000016,431822954,2024-06-13,2024-06-14,92.197.144.240,vzboncak@leannon.com,Ralph,Lindgren,24290016,Not knowledgeable at all,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Minimal,Minimal,Moderate,Good,Good,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Male,Asian,Yes
114628000017,431822954,2024-06-21,2024-06-22,81.242.128.155,jamar.o'keefe@yahoo.com,Constance,Reichert,24290017,Not knowledgeable at all,Extremely confident,Very confident,Slightly confident,Somewhat confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Extensive,Slight,Slight,Minimal,Minimal,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Female,Black,Yes
114628000018,431822954,2024-06-08,2024-06-09,16.59.85.147,gusikowski.harris@yahoo.com,Kenya,Cummerata,24290018,Not knowledgeable at all,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Very confident,Not at all confident,Very confident,Slight,Good,Minimal,Slight,Minimal,Extensive,Disagree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree,Female,Hispanic or Latino,Yes
114628000019,431822954,2024-06-12,2024-06-13,51.219.236.139,brice.strosin@bergstrom.org,Jevon,Wintheiser,24290019,Not knowledgeable at all,Extremely confident,Slightly confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Not at all confident,Not at all confident,Good,Extensive,Slight,Minimal,Good,Slight,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Male,White (Non-Hispanic/Latino),Yes
114628000020,431822954,2024-06-13,2024-06-14,125.249.91.68,tiesha64@hotmail.com,Shafter,Hegmann,24290020,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Slightly confident,Slightly confident,Very confident,Not at all confident,Not at all confident,Slight,Minimal,Minimal,Minimal,Slight,Moderate,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Male,Hispanic or Latino,Yes
114628000021,431822954,2024-06-16,2024-06-17,68.83.203.111,nstamm@yahoo.com,Winona,Koelpin,24290021,Not knowledgeable at all,Slightly confident,Slightly confident,Slightly confident,Very confident,Very confident,Not at all confident,Somewhat confident,Somewhat confident,Extensive,Good,Slight,Minimal,Moderate,Good,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Female,White (Non-Hispanic/Latino),No
114628000022,431822954,2024-06-21,2024-06-22,165.253.216.114,dalvin57@torp.info,Romaine,Weber,24290022,A little knowledgeable,Somewhat confident,Not at all confident,Very confident,Slightly confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slight,Moderate,Moderate,Minimal,Extensive,Extensive,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Female,White (Non-Hispanic/Latino),Yes
114628000023,431822954,2024-06-11,2024-06-12,253.253.255.158,rutherford.jeannette@gmail.com,Belva,Walker,24290023,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Very confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Moderate,Moderate,Slight,Minimal,Moderate,Good,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Female,Hispanic or Latino,Yes
114628000024,431822954,2024-06-10,2024-06-11,127.131.47.8,harm42@gmail.com,Cathie,Terry,24290024,A little knowledgeable,Somewhat confident,Extremely confident,Somewhat confident,Somewhat confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Moderate,Good,Minimal,Extensive,Minimal,Moderate,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Female,Hispanic or Latino,No
114628000025,431822954,2024-06-05,2024-06-06,98.109.89.106,terese.kertzmann@farrell.com,Bridget,Yost,24290025,Very knowledgeable,Somewhat confident,Not at all confident,Very confident,Extremely confident,Somewhat confident,Somewhat confident,Not at all confident,Somewhat confident,Good,Minimal,Minimal,Minimal,Minimal,Slight,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Female,Asian,Yes
114628000026,431822954,2024-06-12,2024-06-13,158.99.31.117,wstamm@yahoo.com,Bridgett,Wiegand,24290026,Not knowledgeable at all,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Slight,Extensive,Moderate,Moderate,Good,Extensive,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Female,Asian,Yes
114628000027,431822954,2024-06-01,2024-06-02,148.119.95.169,marilla96@hotmail.com,Metha,Jenkins,24290027,Not knowledgeable at all,Extremely confident,Very confident,Extremely confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Moderate,Good,Slight,Slight,Good,Minimal,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),No
114628000028,431822954,2024-06-20,2024-06-21,145.118.185.154,sierra.torphy@hotmail.com,Deidre,Kris,24290028,Not knowledgeable at all,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Somewhat confident,Slightly confident,Not at all confident,Extremely confident,Slight,Good,Moderate,Moderate,Minimal,Minimal,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Female,White (Non-Hispanic/Latino),Yes
114628000029,431822954,2024-06-24,2024-06-25,198.59.79.99,shawna.lang@bartoletti.net,Tracie,Kuhlman,24290029,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Minimal,Moderate,Moderate,Extensive,Minimal,Good,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Female,White (Non-Hispanic/Latino),Yes
114628000030,431822954,2024-06-12,2024-06-13,34.48.136.166,rossie68@gmail.com,Willian,Greenholt,24290030,Not knowledgeable at all,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Minimal,Moderate,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Male,Black,Yes
114628000031,431822954,2024-06-05,2024-06-06,71.55.64.173,monna.gutmann@lueilwitz.com,Keanu,Prohaska,24290031,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Extremely confident,Slightly confident,Not at all confident,Moderate,Moderate,Moderate,Extensive,Moderate,Good,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Male,Native Hawaiian or other Pacific Islander,No
114628000032,431822954,2024-06-10,2024-06-11,40.97.140.22,jkshlerin@and.com,Romie,Kutch,24290032,Not knowledgeable at all,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Not at all confident,Extremely confident,Moderate,Good,Slight,Minimal,Minimal,Slight,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Male,White (Non-Hispanic/Latino),Yes
114628000033,431822954,2024-06-04,2024-06-05,249.28.72.188,henriette31@group.com,Barrie,Keebler,24290033,Somewhat knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Moderate,Moderate,Extensive,Minimal,Slight,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Male,Asian,Yes
114628000034,431822954,2024-06-08,2024-06-09,242.245.78.230,wm31@gmail.com,Tabatha,Parker,24290034,Not knowledgeable at all,Somewhat confident,Somewhat confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Extremely confident,Somewhat confident,Slight,Minimal,Good,Minimal,Slight,Good,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Female,Asian,No
114628000035,431822954,2024-06-13,2024-06-14,223.76.129.242,marion47@yahoo.com,Alvaro,Reichert,24290035,A little knowledgeable,Somewhat confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Very confident,Slightly confident,Extremely confident,Minimal,Slight,Moderate,Minimal,Good,Good,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Male,Hispanic or Latino,Yes
114628000036,431822954,2024-06-16,2024-06-17,205.172.255.142,calvin.anderson@miller.info,Irvin,Ortiz,24290036,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Very confident,Somewhat confident,Not at all confident,Not at all confident,Extremely confident,Minimal,Minimal,Slight,Moderate,Minimal,Extensive,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Male,Native Hawaiian or other Pacific Islander,Yes
114628000037,431822954,2024-06-25,2024-06-26,121.70.77.248,jgraham@and.com,Ferris,Swaniawski,24290037,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Slightly confident,Very confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Minimal,Minimal,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Male,Asian,No
114628000038,431822954,2024-06-21,2024-06-22,97.152.246.167,edwina.lueilwitz@gmail.com,Eddie,Shanahan,24290038,Not knowledgeable at all,Somewhat confident,Slightly confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Not at all confident,Somewhat confident,Good,Good,Slight,Slight,Minimal,Good,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Male,Asian,Yes
114628000039,431822954,2024-06-25,2024-06-26,99.13.68.39,india00@williamson.com,Willard,Strosin,24290039,Somewhat knowledgeable,Somewhat confident,Slightly confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Very confident,Slight,Moderate,Slight,Moderate,Minimal,Minimal,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Male,Asian,No
114628000040,431822954,2024-06-05,2024-06-06,185.199.76.224,kunze.rosia@crooks.com,Madison,Quigley,24290040,Somewhat knowledgeable,Very confident,Slightly confident,Somewhat confident,Slightly confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Extensive,Slight,Slight,Slight,Slight,Moderate,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Male,Native Hawaiian or other Pacific Islander,No
114628000041,431822954,2024-06-08,2024-06-09,32.147.65.23,fvandervort@hotmail.com,Porfirio,Torp,24290041,Very knowledgeable,Extremely confident,Not at all confident,Not at all confident,Slightly confident,Not at all confident,Extremely confident,Very confident,Very confident,Moderate,Good,Slight,Slight,Slight,Moderate,Disagree,Disagree,Strongly disagree,Disagree,Agree,Male,Black,I'm not sure
114628000042,431822954,2024-06-07,2024-06-08,20.33.39.230,steuber.verlene@gmail.com,Paris,Tillman,24290042,Somewhat knowledgeable,Somewhat confident,Very confident,Very confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Slightly confident,Good,Extensive,Good,Moderate,Minimal,Good,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Male,Hispanic or Latino,Yes
114628000043,431822954,2024-06-24,2024-06-25,169.30.186.91,erunte@yahoo.com,Kaycee,Emard,24290043,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Somewhat confident,Slightly confident,Slightly confident,Moderate,Minimal,Good,Minimal,Good,Extensive,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,Asian,No
114628000044,431822954,2024-06-22,2024-06-23,10.98.91.112,keshaun77@veum.info,Tate,Gorczany,24290044,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Slight,Minimal,Good,Extensive,Extensive,Extensive,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Male,Asian,No
114628000045,431822954,2024-06-15,2024-06-16,45.48.64.8,lashunda.wisoky@and.info,Forrest,Schoen,24290045,Extremely knowledgeable,Somewhat confident,Slightly confident,Extremely confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Extremely confident,Moderate,Moderate,Moderate,Extensive,Moderate,Moderate,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Male,Do not wish to specify,Yes
114628000046,431822954,2024-06-19,2024-06-20,45.30.94.140,mary.thompson@gmail.com,Tyreke,VonRueden,24290046,Not knowledgeable at all,Somewhat confident,Somewhat confident,Slightly confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Not at all confident,Moderate,Good,Slight,Minimal,Slight,Minimal,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Disagree,Male,White (Non-Hispanic/Latino),Yes
114628000047,431822954,2024-06-24,2024-06-25,167.118.9.5,elgie.walsh@conroy.com,Parlee,Macejkovic,24290047,A little knowledgeable,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Extremely confident,Slight,Moderate,Moderate,Extensive,Good,Minimal,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Female,Asian,No
114628000048,431822954,2024-06-13,2024-06-14,222.207.172.87,zlind@hudson.com,Mignon,Buckridge,24290048,Not knowledgeable at all,Somewhat confident,Not at all confident,Very confident,Very confident,Very confident,Slightly confident,Somewhat confident,Not at all confident,Good,Moderate,Minimal,Minimal,Slight,Extensive,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Female,Asian,Yes
114628000049,431822954,2024-06-09,2024-06-10,155.84.10.223,joshuah05@yahoo.com,Treyton,Pfannerstill,24290049,Not knowledgeable at all,Very confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Extremely confident,Not at all confident,Not at all confident,Moderate,Minimal,Slight,Minimal,Extensive,Good,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Male,Native Hawaiian or other Pacific Islander,Yes
114628000050,431822954,2024-06-24,2024-06-25,91.84.187.71,stephanie77@gerlach.com,Eben,Boehm,24290050,Extremely knowledgeable,Slightly confident,Slightly confident,Very confident,Slightly confident,Slightly confident,Extremely confident,Not at all confident,Very confident,Slight,Moderate,Minimal,Good,Good,Minimal,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Male,Asian,No
114628000051,431822954,2024-06-08,2024-06-09,228.165.67.51,ugaylord@bosco.com,Lyn,Hamill,24290051,Somewhat knowledgeable,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Somewhat confident,Slightly confident,Not at all confident,Slightly confident,Slight,Extensive,Slight,Minimal,Good,Slight,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Male,White (Non-Hispanic/Latino),No
114628000052,431822954,2024-06-03,2024-06-04,132.226.1.235,aldona87@dickinson.com,Sybil,Romaguera,24290052,Not knowledgeable at all,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Somewhat confident,Not at all confident,Extremely confident,Slight,Good,Good,Slight,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),Yes
114628000053,431822954,2024-06-16,2024-06-17,31.0.60.17,jschmitt@yahoo.com,Cal,Haag,24290053,Not knowledgeable at all,Not at all confident,Extremely confident,Not at all confident,Somewhat confident,Not at all confident,Somewhat confident,Very confident,Not at all confident,Slight,Slight,Moderate,Minimal,Moderate,Minimal,Neither agree nor disagree,Strongly disagree,Agree,Disagree,Agree,Male,White (Non-Hispanic/Latino),Yes
114628000054,431822954,2024-06-17,2024-06-18,108.47.34.1,rsipes@beier.biz,Maynard,Franecki,24290054,A little knowledgeable,Somewhat confident,Not at all confident,Somewhat confident,Extremely confident,Not at all confident,Slightly confident,Slightly confident,Very confident,Moderate,Slight,Moderate,Moderate,Moderate,Minimal,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Male,Asian,Yes
114628000055,431822954,2024-06-08,2024-06-09,103.139.13.180,slubowitz@inc.info,Lori,DuBuque,24290055,Not knowledgeable at all,Somewhat confident,Very confident,Very confident,Slightly confident,Not at all confident,Slightly confident,Not at all confident,Very confident,Moderate,Good,Good,Minimal,Minimal,Slight,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Female,Black,No
114628000056,431822954,2024-06-01,2024-06-02,80.75.43.162,o'kon.minnie@gmail.com,Tayshaun,Murray,24290056,Not knowledgeable at all,Somewhat confident,Extremely confident,Slightly confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Moderate,Extensive,Good,Slight,Minimal,Extensive,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Male,Native Hawaiian or other Pacific Islander,Yes
114628000057,431822954,2024-06-04,2024-06-05,217.141.16.194,psauer@altenwerth.com,True,Langosh,24290057,Not knowledgeable at all,Slightly confident,Slightly confident,Extremely confident,Very confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Minimal,Slight,Slight,Extensive,Good,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Do not wish to specify,White (Non-Hispanic/Latino),No
114628000058,431822954,2024-06-08,2024-06-09,119.134.151.23,ryann67@mcclure.com,Delfina,Prohaska,24290058,Not knowledgeable at all,Extremely confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Slightly confident,Somewhat confident,Slightly confident,Minimal,Slight,Moderate,Minimal,Minimal,Good,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Female,White (Non-Hispanic/Latino),No
114628000059,431822954,2024-06-10,2024-06-11,24.8.244.125,hturcotte@gmail.com,Aurora,Keeling,24290059,Not knowledgeable at all,Very confident,Not at all confident,Slightly confident,Very confident,Not at all confident,Somewhat confident,Not at all confident,Not at all confident,Slight,Minimal,Good,Minimal,Minimal,Extensive,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Female,White (Non-Hispanic/Latino),No
114628000060,431822954,2024-06-23,2024-06-24,162.77.14.27,rodrick.lakin@ltd.net,Rube,O'Hara,24290060,Not knowledgeable at all,Somewhat confident,Not at all confident,Slightly confident,Slightly confident,Not at all confident,Very confident,Not at all confident,Somewhat confident,Moderate,Moderate,Slight,Slight,Extensive,Extensive,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Male,American Indian or Alaskan Native,Yes
114628000061,431822954,2024-06-01,2024-06-02,22.166.59.85,eschneider@hotmail.com,Katlyn,King,24290061,Not knowledgeable at all,Not at all confident,Very confident,Not at all confident,Very confident,Not at all confident,Very confident,Very confident,Extremely confident,Good,Good,Good,Slight,Slight,Extensive,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Female,Asian,Yes
114628000062,431822954,2024-06-16,2024-06-17,237.134.69.110,jessy28@inc.org,Deann,Fadel,24290062,Somewhat knowledgeable,Very confident,Not at all confident,Somewhat confident,Very confident,Very confident,Extremely confident,Not at all confident,Slightly confident,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Female,Asian,Yes
114628000063,431822954,2024-06-06,2024-06-07,32.6.48.102,ugrimes@llc.net,Rodrick,Kub,24290063,Not knowledgeable at all,Somewhat confident,Not at all confident,Not at all confident,Somewhat confident,Not at all confident,Very confident,Not at all confident,Very confident,Minimal,Slight,Slight,Minimal,Moderate,Moderate,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Disagree,Male,White (Non-Hispanic/Latino),No
114628000064,431822954,2024-06-18,2024-06-19,220.74.91.141,malvin38@ltd.biz,Victoriano,Willms,24290064,Not knowledgeable at all,Extremely confident,Slightly confident,Slightly confident,Somewhat confident,Somewhat confident,Not at all confident,Very confident,Not at all confident,Extensive,Minimal,Minimal,Minimal,Slight,Good,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Male,Asian,No
